Judul Bab,Bab,Pasal,Isi
bentuk dan kedaulatan,i,1,"['(1', 'negar', 'indonesi', 'iala', 'negar', 'kesatuan', 'yan', 'berbentu', 'republik', '(2', 'kedaulata', 'adala', 'd', 'tanga', 'rakyat', 'da', 'dilakuka', 'sepenuhny', 'ole', 'majeli', 'permusyawarata', 'rakyat']"
majelis permusyawaratan rakyat,ii,2,"['(1', 'majeli', 'permusyawarata', 'rakya', 'terdir', 'ata', 'anggota-anggot', 'dewa', 'perwakila', 'rakyat', 'ditamba', 'denga', 'utusan-utusa', 'dar', 'daerah-daera', 'da', 'golongan-golongan', 'menuru', 'atura', 'yan', 'ditetapka', 'denga', 'undang-undang', '(2', 'majeli', 'permusyawarata', 'rakya', 'bersidan', 'sedikitny', 'sekal', 'dala', 'lim', 'tahu', 'd', 'ib', 'kot', 'negara', '(3', 'segal', 'putusa', 'majeli', 'permusyawarata', 'rakya', 'ditetapka', 'denga', 'suar', 'yan', 'terbanyak']"
kekuasaan pemerintahan negara,iii,3,"['majeli', 'permusyawarata', 'rakya', 'menetapka', 'undang-undan', 'dasa', 'da', 'garis-gari', 'besa', 'daripad', 'halua', 'negara']"
kekuasaan kepemimpinan,iv,4,"['(1', 'preside', 'republi', 'indonesi', 'memegan', 'kekuasaa', 'pemerintaha', 'menuru', 'undang-undan', 'dasar', '(2', 'dala', 'melakuka', 'kewajibanny', 'preside', 'dibant', 'ole', 'sat', 'oran', 'waki', 'presiden']"
pembuatan undang-undang,iv,5,"['(1', 'preside', 'memegan', 'kekuasaa', 'membentu', 'undang-undan', 'denga', 'persetujua', 'dewa', 'perwakila', 'rakyat', '(2', 'preside', 'menetapka', 'peratura', 'pemerinta', 'untu', 'menjalanka', 'undang-undan', 'sebagaiman', 'mestinya']"
pemilihan presiden dan wakil presiden,iv,6,"['(1', 'preside', 'iala', 'oran', 'indonesi', 'asli', '(2', 'preside', 'da', 'waki', 'preside', 'dipili', 'ole', 'majeli', 'permusyawarata', 'rakya', 'denga', 'suar', 'yan', 'terbanyak']"
lamanya jabatan presiden dan wakil presiden,iv,7,"['preside', 'da', 'waki', 'preside', 'memegan', 'jabatanny', 'selam', 'mas', 'lim', 'tahun', 'da', 'sesudahny', 'dapa', 'dipili', 'kembali']"
pengisian jabatan presiden dan wakil presiden,iv,8,"['jik', 'preside', 'mangkat', 'berhenti', 'ata', 'tida', 'dapa', 'melakuka', 'kewajibanny', 'dala', 'mas', 'jabatannya', 'i', 'digant', 'ole', 'waki', 'preside', 'sampa', 'habi', 'waktunya']"
sumpah dan janji presiden dan wakil presiden,iv,9,"['sebelu', 'memangk', 'jabatannya', 'preside', 'da', 'waki', 'preside', 'bersumpa', 'menuru', 'agama', 'ata', 'berjanj', 'denga', 'sungguh-sunggu', 'd', 'hadapa', 'majeli', 'permusyawarata', 'rakya', 'ata', 'dewa', 'perwakila', 'rakya', 'sebaga', 'beriku', '', 'sumpa', 'preside', '(waki', 'presiden', '', '""dem', 'allah', 'say', 'bersumpa', 'aka', 'memenuh', 'kewajiba', 'preside', 'republi', 'indonesi', '(waki', 'preside', 'republi', 'indonesia', 'denga', 'sebaik-baikny', 'da', 'seadil-adilnya', 'memegan', 'tegu', 'undang-undan', 'dasa', 'da', 'menjalanka', 'segal', 'undang-undan', 'da', 'peraturanny', 'denga', 'selurus-lurusny', 'sert', 'berbakt', 'kepad', 'nus', 'da', 'bangsa""', 'janj', 'preside', '(waki', 'presiden', '', '""say', 'berjanj', 'denga', 'sungguh-sunggu', 'aka', 'memenuh', 'kewajiba', 'preside', 'republi', 'indonesi', '(waki', 'preside', 'republi', 'indonesia', 'denga', 'sebaik-baikny', 'da', 'seadil-adilnya', 'memegan', 'tegu', 'undang-undan', 'dasa', 'da', 'menjalanka', 'segal', 'undang-undan', 'da', 'peraturanny', 'denga', 'selurus-lurusny', 'sert', 'berbakt', 'kepad', 'nus', 'da', 'bangsa""']"
kekuasaan presiden atas angkatan berseragam,iv,10,"['preside', 'memegan', 'kekuasaa', 'yan', 'tertingg', 'ata', 'angkata', 'darat', 'angkata', 'lau', 'da', 'angkata', 'udara']"
kekuasaan presiden dalam hubungan luar negeri,iv,11,"['preside', 'denga', 'persetujua', 'dewa', 'perwakila', 'rakya', 'menyataka', 'perang', 'membua', 'perdamaia', 'da', 'perjanjia', 'denga', 'negar', 'lain']"
keadaan bahaya,iv,12,"['preside', 'menyataka', 'keadaa', 'bahaya', 'syarat-syara', 'da', 'akibatny', 'keadaa', 'bahay', 'ditetapka', 'denga', 'undang-undang']"
urusan duta dan konsul,iv,13,"['(1', 'preside', 'mengangka', 'dut', 'da', 'konsul', '(2', 'preside', 'menerim', 'dut', 'negar', 'lain']"
grasi dan pengampunan,iv,14,"['preside', 'member', 'grasi', 'amnesti', 'abolis', 'da', 'rehabilitasi']"
"pemberian tanda kebesaran, bintang dan gelar kepada warga negara",iv,15,"['preside', 'member', 'gelaran', 'tand', 'jas', 'da', 'lain-lai', 'tand', 'kehormatan']"
dewan pertimbangan agung,v,16,"['(1', 'susuna', 'dewa', 'pertimbanga', 'agun', 'ditetapka', 'denga', 'undang-undang', '(2', 'dewa', 'in', 'berkewajiba', 'member', 'jawa', 'ata', 'pertanyaa', 'preside', 'da', 'berha', 'memajuka', 'usu', 'kepad', 'pemerintah']"
kementerian negara,vi,17,"['(1', 'preside', 'dibant', 'ole', 'menteri-menter', 'negara', '(2', 'menteri-menter', 'it', 'diangka', 'da', 'diperhentika', 'ole', 'presiden', '(3', 'menteri-menter', 'it', 'memimpi', 'departeme', 'pemerintah']"
pemerintah daerah,vii,18,"['pembagia', 'daera', 'indonesi', 'ata', 'daera', 'besa', 'da', 'kecil', 'denga', 'bentu', 'susuna', 'pemerintahanny', 'ditetapka', 'denga', 'undang-undang', 'denga', 'memandan', 'da', 'mengingat', 'dasa', 'permusyawarata', 'dala', 'siste', 'pemerintaha', 'negara', 'da', 'hak-ha', 'asal-usu', 'dala', 'daerah-daera', 'yan', 'bersifa', 'istimewa']"
dewan perwakilan rakyat,viii,19,"['(1', 'susuna', 'dewa', 'perwakila', 'rakya', 'ditetapka', 'denga', 'undang-undang', '(2', 'dewa', 'perwakila', 'rakya', 'bersidan', 'sedikitny', 'sekal', 'dala', 'setahun']"
pembuatan undang-undang,viii,20,"['(1', 'tiap-tia', 'undang-undan', 'menghendak', 'persetujua', 'dewa', 'perwakila', 'rakyat', '(2', 'jik', 'sesuat', 'rancanga', 'undang-undan', 'tida', 'mendapa', 'persetujua', 'dewa', 'perwakila', 'rakyat', 'mak', 'rancanga', 'tad', 'tida', 'bole', 'dimajuka', 'lag', 'dala', 'persidanga', 'dewa', 'perwakila', 'rakya', 'mas', 'itu']"
peraturan pemerintah,viii,21,"['(1', 'anggota-anggot', 'dewa', 'perwakila', 'rakya', 'berha', 'memajuka', 'rancanga', 'undang-undang', '(2', 'jik', 'rancanga', 'itu', 'meskipu', 'disetuju', 'ole', 'dewa', 'perwakila', 'rakyat', 'tida', 'disahka', 'ole', 'presiden', 'mak', 'rancanga', 'tad', 'tida', 'bole', 'dimajuka', 'lag', 'dala', 'persidanga', 'dewa', 'perwakila', 'rakya', 'mas', 'itu']"
keadaan keuangan negara,viii,22,"['(1', 'dala', 'ha', 'ihwa', 'kegentinga', 'yan', 'memaksa', 'preside', 'berha', 'menetapka', 'peratura', 'pemerinta', 'sebaga', 'penggant', 'undang-undang', '(2', 'peratura', 'pemerinta', 'it', 'haru', 'mendapa', 'persetujua', 'dewa', 'perwakila', 'rakya', 'dala', 'persidanga', 'yan', 'berikut', '(3', 'jik', 'tida', 'mendapa', 'persetujuan', 'mak', 'peratura', 'pemerinta', 'it', 'haru', 'dicabut']"
hal keuangan,ix,23,"['(1', 'anggara', 'pendapata', 'da', 'belanj', 'ditetapka', 'tiap-tia', 'tahu', 'denga', 'undang-undang', 'apabil', 'dewa', 'perwakila', 'rakya', 'tida', 'menyetuju', 'anggara', 'yan', 'diusulka', 'pemerintah', 'mak', 'pemerinta', 'menjalanka', 'anggara', 'tahu', 'yan', 'lalu', '(2', 'segal', 'paja', 'untu', 'keperlua', 'negar', 'berdasarka', 'undang-undang', '(3', 'maca', 'da', 'harg', 'mat', 'uan', 'ditetapka', 'denga', 'undang-undang', '(4', 'ha', 'keuanga', 'negar', 'selanjutny', 'diatu', 'denga', 'undang-undang', '(5', 'untu', 'memeriks', 'tanggun', 'jawa', 'tentan', 'keuanga', 'negar', 'diadaka', 'suat', 'bada', 'pemeriks', 'keuangan', 'yan', 'peraturanny', 'ditetapka', 'denga', 'undang-undang', 'hasi', 'pemeriksaa', 'it', 'diberitahuka', 'kepad', 'dewa', 'perwakila', 'rakyat']"
kekuasaan kehakiman,x,24,"['(1', 'kekuasaa', 'kehakima', 'dilakuka', 'ole', 'sebua', 'mahkama', 'agun', 'da', 'lain-lai', 'bada', 'kehakima', 'menuru', 'undang-undang', '(2', 'susuna', 'da', 'kekuasaa', 'badan-bada', 'kehakima', 'it', 'diatu', 'denga', 'undang-undang']"
syarat-syarat menjadi hakim,x,25,"['syarat-syara', 'untu', 'menjad', 'da', 'untu', 'diperhentika', 'sebaga', 'haki', 'ditetapka', 'denga', 'undang-undang']"
warga negara,xi,26,"['(1', 'yan', 'menjad', 'warg', 'negar', 'iala', 'orang-oran', 'bangs', 'indonesi', 'asl', 'da', 'orang-oran', 'bangs', 'lai', 'yan', 'disahka', 'denga', 'undang-undan', 'sebaga', 'warg', 'negara', '(2', 'syarat-syara', 'yan', 'mengena', 'kewarganegaraa', 'ditetapka', 'denga', 'undang-undang']"
kewajiban dan hak warga negara,xi,27,"['(1', 'segal', 'warg', 'negar', 'bersamaa', 'kedudukanny', 'd', 'dala', 'huku', 'da', 'pemerintaha', 'da', 'waji', 'menjunjun', 'huku', 'da', 'pemerintaha', 'it', 'denga', 'tida', 'ad', 'kecualinya', '(2', 'tiap-tia', 'warg', 'negar', 'berha', 'ata', 'pekerjaa', 'da', 'penghidupa', 'yan', 'laya', 'bag', 'kemanusiaan']"
kekuasaan berserikat dan berkumpul,xi,28,"['kemerdekaa', 'berserika', 'da', 'berkumpul', 'mengeluarka', 'pikira', 'denga', 'lisa', 'da', 'tulisa', 'da', 'sebagany', 'ditetapka', 'denga', 'undang-undang']"
agama,xii,29,"['(1', 'negar', 'berdasa', 'ata', 'ketuhana', 'yan', 'mah', 'esa', '(2', 'negar', 'menjami', 'kemerdekaa', 'tiap-tia', 'pendudu', 'untu', 'memelu', 'agamany', 'masing-masin', 'da', 'untu', 'beribada', 'menuru', 'agamany', 'da', 'kepercayaanny', 'itu']"
pertahanan negara,xiii,30,"['(1', 'tiap-tia', 'warg', 'negar', 'berha', 'da', 'waji', 'iku', 'sert', 'dala', 'usah', 'pembelaa', 'negara', '(2', 'syarat-syara', 'tentan', 'pembelaa', 'diatu', 'denga', 'undang-undang']"
pendidikan,xiv,31,"['(1', 'tiap-tia', 'warg', 'negar', 'berha', 'mendapa', 'pengajaran', '(2', 'pemerinta', 'mengusahaka', 'da', 'menyelenggaraka', 'sat', 'siste', 'pengajara', 'nasional', 'yan', 'diatu', 'denga', 'undang-undang']"
kesejahteraan sosial,xiv,32,"['pemerinta', 'memajuka', 'kebudayaa', 'nasiona', 'indonesia']"
bendera dan bahasa,xv,33,"['(1', 'perekonomia', 'disusu', 'sebaga', 'usah', 'bersam', 'berdasa', 'ata', 'asa', 'kekeluargaan', '(2', 'cabang-caban', 'produks', 'yan', 'pentin', 'bag', 'negar', 'da', 'yan', 'menguasa', 'haja', 'hidu', 'oran', 'banya', 'dikuasa', 'ole', 'negara', '(3', 'bum', 'da', 'ai', 'da', 'kekayaa', 'ala', 'yan', 'terkandun', 'd', 'dalamny', 'dikuasa', 'ole', 'negar', 'da', 'dipergunaka', 'untu', 'sebesar-besa', 'kemakmura', 'rakyat']"
perubahan undang -undang dasar,xvi,34,"['(1', 'untu', 'menguba', 'undang-undan', 'dasa', 'sekurang-kurangny', '2/', 'daripad', 'jumla', 'anggot', 'majeli', 'permusyawarata', 'rakya', 'haru', 'hadir', '(2', 'putusa', 'diambi', 'denga', 'persetujua', 'sekurang-kurangny', '2/', 'daripad', 'jumla', 'anggot', 'yan', 'hadir']"
