Pasal,Isi
Pasal 1,Menikmati hak-hak kewargaan tidak tergantung pada hak-hak kenegaraan.
Pasal 2,"Anak yang ada dalam kandungan seorang perempuan dianggap telah lahir, setiap kali kepentingan si anak menghendakinya. Bila telah mati sewaktu dilahirkan, dia dianggap tidak pernah ada."
Pasal 3,"Tiada suatu hukuman pun yang mengakibatkan kematian perdata, atau hilangnya segala hak- hak kewargaan."
Pasal 4,"Tanpa mengurangi ketentuan dalam Pasal 10 Ketentuan-ketentuan Umum Perundang- undangan di Indonesia, maka bagi golongan Eropa di seluruh Indonesia ada daftar kelahiran, daftar lapor kawin, daftar izin kawin, daftar perkawinan dan perceraian, dan daftar kematian. Pegawai yang ditugaskan menyelenggarakan daftar-daftar tersebut, dinamakan Pegawai Catatan Sipil."
Pasal 5,"Presiden, setelah mendengar Mahkamah Agung menentukan dengan peraturan tersendiri, tempat dan cara menyelenggarakan daftar-daftar tersebut, demikian pula cara menyusun akta- akta dan syarat-syarat yang harus diperhatikan. Dalam peraturan itu harus dicantumkan juga"
Pasal 6,"Tak seorang pun diperbolehkan mengganti nama keturunannya, atau menambahkan nama lain pada namanya tanpa izin Presiden. Barang siapa nama tidak dikenal keturunan atau nama depannya, diperbolehkan mengambil suatu nama keturunan atau nama depan, asalkan dengan izin Presiden."
Pasal 7,"Permohonan izin untuk itu tidak dapat dikabulkan sebelum habis jangka waktu empat bulan, terhitung mulai hari pemberitaan permohonan itu dalam Berita Negara."
Pasal 8,"Selama jangka waktu tersebut dalam pasal yang lalu, pihak-pihak yang berkepentingan diperbolehkan mengemukakan kepada Presiden, dengan surat permohonan, dasar-dasar yang mereka anggap menjadi keberatan untuk menentang permohonan tersebut."
Pasal 9,"Bila dalam hal yang dimaksud dalam alinea pertama Pasal 6 permohonan itu dikabulkan, maka surat penetapannya harus disampaikan kepada pegawai catatan sipil di tempat tinggal si pemohon, pegawai mana harus menuliskannya dalam buku daftar yang sedang berjalan, dan membuat catatan tentang hal itu pada margin akta kelahiran si pemohon."
Pasal 10,"Diperolehnya suatu nama sesuai dengan ketentuan-ketentuan dalam keempat pasal yang lalu, sekali-kali tidak boleh diajukan sebagal bukti adanya hubungan sanak saudara."
Pasal 11,"Tiada seorang pun diperbolehkan mengubah nama depan atau menambahkan nama depan pada namanya, tanpa izin Pengadilan Negeri tempat tinggalnya atas permohonan untuk itu, setelah mendengar jawaban Kejaksaan."
Pasal 12,"Bila Pengadilan Negeri mengizinkan penggantian atau penambahan nama depan, maka surat penetapannya harus disampaikan kepada Pegawai Catatan Sipil tempat tinggal si pemohon, dan pegawai itu harus membukukannya dalam daftar yang sedang berjalan, dan mencatatnya pula pada margin akta kelahiran."
Pasal 13,"Bila daftar tidak pernah ada, atau telah hilang dipalsui, diubah, robek, dimusnahkan, digelapkan atau dirusak, bila ada akta yang tidak terdapat dalam daftar itu atau bila dalam akta yang dibukukan terdapat kesesatan, kekeliruan atau kesalahan lain maka hal-hal itu dapat menjadi dasar untuk mengadakan penambahan atau perbaikan dalam daftar itu."
Pasal 14,"Permohonan untuk itu hanya dapat diajukan kepada Pengadilan Negeri, yang di daerah hukumnya daftar-daftar itu diselenggarakan atau seharusnya diselenggarakan dan untuk itu Pengadilan Negeri akan mengambil keputusan setelah mendengar kejaksaan dan pihak-pihak yang berkepentingan bila ada cukup alasan dan dengan tidak mengurangi kesempatan banding."
Pasal 15,Keputusan ini hanya berlaku antara pihak-pihak yang telah memohon atau yang pernah dipanggil.
Pasal 16,"Semua keputusan tentang pembetulan atau penambahan pada akta, yang telah memperoleh kekuatan tetap, harus dibuktikan oleh Pegawai Catatan Sipil dalam daftar-daftar yang sedang berjalan segera setelah diterbitkan dan bila ada perbaikan hal itu harus diberitakan pada margin akta yang diperbaiki, sesuai dengan ketentuan-ketentuan Reglemen tentang Catatan Sipil."
Pasal 17,"Setiap orang dianggap bertempat tinggal di tempat yang dijadikan pusat kediamannya. Bila tidak ada tempat kediaman yang demikian, maka tempat kediaman yang sesungguhnya dianggap sebagai tempat tinggalnya."
Pasal 18,Perubahan tempat tinggal terjadi dengan pindah rumah secara nyata ke tempat lain disertai niat untuk menempatkan pusat kediamannya di sana.
Pasal 19,"Niat itu dibuktikan dengan menyampaikan pernyataan kepada Kepala Pemerintahan, baik di tempat yang ditinggalkan, maupun di tempat tujuan pindah rumah kediaman. Bila tidak ada pernyataan, maka bukti tentang adanya niat itu harus disimpulkan dari keadaan-keadaannya."
Pasal 20,"Mereka yang ditugaskan untuk menjalankan dinas umum, dianggap bertempat tinggal di tempat mereka melaksanakan dinas."
Pasal 21,"Seorang perempuan yang telah kawin dan tidak pisah meja dan ranjang, tidak mempunyai tempat tinggal lain daripada tempat tinggal suaminya; anak-anak di bawah umur mengikuti tempat tinggal salah satu dan kedua orang tua mereka yang melakukan kekuasaan orang tua atas mereka, atau tempat tinggal wali mereka; orang-orang dewasa yang berada di bawah pengampuan mengikuti tempat tinggal pengampuan mereka."
Pasal 22,"Dengan tidak mengurangi ketentuan dalam pasal yang lalu, buruh mempunyai tempat tinggal di rumah majikan mereka bila mereka tinggal serumah dengannya."
Pasal 23,Yang dianggap sebagai rumah kematian seseorang yang meninggal dunia adalah rumah tempat tinggalnya yang terakhir.
Pasal 24,"Dalam suatu akta dan terhadap suatu soal tertentu, kedua pihak atau salah satu pihak bebas untuk memilih tempat tinggal yang lain daripada tempat tinggal yang sebenarnya. Pemilihan itu dapat dilakukan secara mutlak, bahkan sampai meliputi pelaksanaan putusan Hakim, atau dapat dibatasi sedemikian rupa sebagaimana dikehendaki oleh kedua pihak atau salah satu pihak. Dalam hal ini surat-surat juru sita, gugatan-gugatan atau tuntutan-tuntutan yang tercantum atau termaksud dalam akta itu boleh dilakukan di tempat tinggal yang dipilih dan di muka Hakim tempat tinggal itu."
Pasal 25,"Bila hal sebaliknya tidak disepakati, masing-masing pihak boleh mengubah tempat tinggal yang dipilih untuk dirinya, asalkan tempat tinggal yang baru tidak lebih dan sepuluh pal jauhnya dari tempat tinggal yang lama dan perubahan itu diberitahukan kepada pihak yang lain / pihak lawan."
Pasal 26,Undang-undang memandang soal perkawinan hanya dalam hubungan-hubungan perdata.
Pasal 27,"Pada waktu yang sama, seorang lelaki hanya boleh terikat perkawinan dengan satu orang perempuan saja; dan seorang perempuan hanya dengan satu orang lelaki saja."
Pasal 28,Asas perkawinan menghendaki adanya persetujuan bebas dan calon suami dan calon istri.
Pasal 29,"Laki-laki yang belum mencapai umur delapan belas tahun penuh dan perempuan yang belum mencapai umur lima belas tahun penuh, tidak diperkenankan mengadakan perkawinan. Namun jika ada alasan-alasan penting, Presiden dapat menghapuskan larangan ini dengan memberikan dispensasi."
Pasal 30,"Perkawinan dilarang antara mereka yang satu sama lainnya mempunyai hubungan darah dalam garis ke atas maupun garis ke bawah, baik karena kelahiran yang sah maupun karena kelahiran yang tidak sah, atau karena perkawinan; dalam garis ke samping, antara kakak beradik laki perempuan, sah atau tidak sah."
Pasal 31, Juga dilarang perkawinan:
