,Pasal,Isi
0,Pasal 1,Menikmati hak-hak kewargaan tidak tergantung pada hak-hak kenegaraan.
1,Pasal 2,"Anak yang ada dalam kandungan seorang perempuan dianggap telah lahir, setiap kali kepentingan si anak menghendakinya. Bila telah mati sewaktu dilahirkan, dia dianggap tidak pernah ada."
2,Pasal 3,"Tiada suatu hukuman pun yang mengakibatkan kematian perdata, atau hilangnya segala hak- hak kewargaan."
3,Pasal 4,"Tanpa mengurangi ketentuan dalam Pasal 10 Ketentuan-ketentuan Umum Perundang- undangan di Indonesia, maka bagi golongan Eropa di seluruh Indonesia ada daftar kelahiran, daftar lapor kawin, daftar izin kawin, daftar perkawinan dan perceraian, dan daftar kematian. Pegawai yang ditugaskan menyelenggarakan daftar-daftar tersebut, dinamakan Pegawai Catatan Sipil."
4,Pasal 5,"Presiden, setelah mendengar Mahkamah Agung menentukan dengan peraturan tersendiri, tempat dan cara menyelenggarakan daftar-daftar tersebut, demikian pula cara menyusun akta- akta dan syarat-syarat yang harus diperhatikan. Dalam peraturan itu harus dicantumkan juga"
5,Pasal 6,"Tak seorang pun diperbolehkan mengganti nama keturunannya, atau menambahkan nama lain pada namanya tanpa izin Presiden. Barang siapa nama tidak dikenal keturunan atau nama depannya, diperbolehkan mengambil suatu nama keturunan atau nama depan, asalkan dengan izin Presiden."
6,Pasal 7,"Permohonan izin untuk itu tidak dapat dikabulkan sebelum habis jangka waktu empat bulan, terhitung mulai hari pemberitaan permohonan itu dalam Berita Negara."
7,Pasal 8,"Selama jangka waktu tersebut dalam pasal yang lalu, pihak-pihak yang berkepentingan diperbolehkan mengemukakan kepada Presiden, dengan surat permohonan, dasar-dasar yang mereka anggap menjadi keberatan untuk menentang permohonan tersebut."
8,Pasal 9,"Bila dalam hal yang dimaksud dalam alinea pertama Pasal 6 permohonan itu dikabulkan, maka surat penetapannya harus disampaikan kepada pegawai catatan sipil di tempat tinggal si pemohon, pegawai mana harus menuliskannya dalam buku daftar yang sedang berjalan, dan membuat catatan tentang hal itu pada margin akta kelahiran si pemohon."
9,Pasal 10,"Diperolehnya suatu nama sesuai dengan ketentuan-ketentuan dalam keempat pasal yang lalu, sekali-kali tidak boleh diajukan sebagal bukti adanya hubungan sanak saudara."
10,Pasal 11,
11,Pasal 12,"Bila Pengadilan Negeri mengizinkan penggantian atau penambahan nama depan, maka surat penetapannya harus disampaikan kepada Pegawai Catatan Sipil tempat tinggal si pemohon, dan pegawai itu harus membukukannya dalam daftar yang sedang berjalan, dan mencatatnya pula pada margin akta kelahiran."
12,Pasal 13,"Bila daftar tidak pernah ada, atau telah hilang dipalsui, diubah, robek, dimusnahkan, digelapkan atau dirusak, bila ada akta yang tidak terdapat dalam daftar itu atau bila dalam akta yang dibukukan terdapat kesesatan, kekeliruan atau kesalahan lain maka hal-hal itu dapat menjadi dasar untuk mengadakan penambahan atau perbaikan dalam daftar itu."
13,Pasal 14,"Permohonan untuk itu hanya dapat diajukan kepada Pengadilan Negeri, yang di daerah hukumnya daftar-daftar itu diselenggarakan atau seharusnya diselenggarakan dan untuk itu Pengadilan Negeri akan mengambil keputusan setelah mendengar kejaksaan dan pihak-pihak yang berkepentingan bila ada cukup alasan dan dengan tidak mengurangi kesempatan banding."
14,Pasal 15,Keputusan ini hanya berlaku antara pihak-pihak yang telah memohon atau yang pernah dipanggil.
15,Pasal 16,"Semua keputusan tentang pembetulan atau penambahan pada akta, yang telah memperoleh kekuatan tetap, harus dibuktikan oleh Pegawai Catatan Sipil dalam daftar-daftar yang sedang berjalan segera setelah diterbitkan dan bila ada perbaikan hal itu harus diberitakan pada margin akta yang diperbaiki, sesuai dengan ketentuan-ketentuan Reglemen tentang Catatan Sipil."
16,Pasal 18,Perubahan tempat tinggal terjadi dengan pindah rumah secara nyata ke tempat lain disertai niat untuk menempatkan pusat kediamannya di sana.
17,Pasal 19,"Niat itu dibuktikan dengan menyampaikan pernyataan kepada Kepala Pemerintahan, baik di tempat yang ditinggalkan, maupun di tempat tujuan pindah rumah kediaman. Bila tidak ada pernyataan, maka bukti tentang adanya niat itu harus disimpulkan dari keadaan-keadaannya."
18,Pasal 20,"Mereka yang ditugaskan untuk menjalankan dinas umum, dianggap bertempat tinggal di tempat mereka melaksanakan dinas."
19,Pasal 21,"Seorang perempuan yang telah kawin dan tidak pisah meja dan ranjang, tidak mempunyai tempat tinggal lain daripada tempat tinggal suaminya; anak-anak di bawah umur mengikuti tempat tinggal salah satu dan kedua orang tua mereka yang melakukan kekuasaan orang tua atas mereka, atau tempat tinggal wali mereka; orang-orang dewasa yang berada di bawah pengampuan mengikuti tempat tinggal pengampuan mereka."
20,Pasal 22,"Dengan tidak mengurangi ketentuan dalam pasal yang lalu, buruh mempunyai tempat tinggal di rumah majikan mereka bila mereka tinggal serumah dengannya."
21,Pasal 23,Yang dianggap sebagai rumah kematian seseorang yang meninggal dunia adalah rumah tempat tinggalnya yang terakhir.
22,Pasal 24,"Dalam suatu akta dan terhadap suatu soal tertentu, kedua pihak atau salah satu pihak bebas untuk memilih tempat tinggal yang lain daripada tempat tinggal yang sebenarnya. Pemilihan itu dapat dilakukan secara mutlak, bahkan sampai meliputi pelaksanaan putusan Hakim, atau dapat dibatasi sedemikian rupa sebagaimana dikehendaki oleh kedua pihak atau salah satu pihak. Dalam hal ini surat-surat juru sita, gugatan-gugatan atau tuntutan-tuntutan yang tercantum atau termaksud dalam akta itu boleh dilakukan di tempat tinggal yang dipilih dan di muka Hakim tempat tinggal itu."
23,Pasal 25,
24,Pasal 28,Asas perkawinan menghendaki adanya persetujuan bebas dan calon suami dan calon istri.
25,Pasal 29,"Laki-laki yang belum mencapai umur delapan belas tahun penuh dan perempuan yang belum mencapai umur lima belas tahun penuh, tidak diperkenankan mengadakan perkawinan. Namun jika ada alasan-alasan penting, Presiden dapat menghapuskan larangan ini dengan memberikan dispensasi."
26,Pasal 30,"Perkawinan dilarang antara mereka yang satu sama lainnya mempunyai hubungan darah dalam garis ke atas maupun garis ke bawah, baik karena kelahiran yang sah maupun karena kelahiran yang tidak sah, atau karena perkawinan; dalam garis ke samping, antara kakak beradik laki perempuan, sah atau tidak sah."
27,Pasal 31 Juga dilarang perkawinan:,
28,Pasal 32,"Seseorang yang dengan keputusan pengadilan telah dinyatakan melakukan zina, sekali-kali tidak diperkenankan kawin dengan pasangan zinanya itu."
29,Pasal 33,"Antara orang-orang yang perkawinannya telah dibubarkan sesuai dengan ketentuan Pasal 199 nomor 3° atau 4°, tidak diperbolehkan untuk kedua kalinya dilaksanakan perkawinan kecuali setelah lampau satu tahun sejak pembubaran perkawinan mereka yang didaftarkan dalam daftar Catatan Sipil. Perkawinan lebih lanjut antara orang-orang yang sama dilarang."
30,Pasal 34,"Seorang perempuan tidak diperbolehkan melakukan perkawinan baru, kecuali setelah lampau jangka waktu tiga ratus hari sejak pembubaran perkawinan yang terakhir."
31,Pasal 35,"Untuk melaksanakan perkawinan, anak sah di bawah umur memerlukan izin kedua orang tuanya. Akan tetapi bila hanya salah seorang dan mereka memberi izin dan yang lainnya telah dipecat dan kekuasaan orang tua atau perwalian atas anak itu, maka Pengadilan Negeri di daerah tempat tinggal anak itu, atas permohonannya, berwenang memberi izin melakukan perkawinan itu, setelah mendengar atau memanggil dengan sah mereka yang izinnya menjadi syarat beserta keluarga sedarah atau keluarga-keluarga semenda. Bila salah satu orang tua telah meninggal atau berada dalam keadaan tak mampu menyatakan kehendaknya, maka izin cukup diperoleh dan orang tua yang lain."
32,Pasal 36,"Selain izin yang diharuskan dalam pasal yang lalu, anak-anak sah yang belum dewasa memerlukan juga izin dan wali mereka, bila yang melakukan perwalian adalah orang lain daripada bapak atau ibu mereka; bila izin itu diperbolehkan untuk kawin dengan wali itu atau dengan salah satu dan keluarga sedarahnya dalam garis lurus, diperlukan izin dan wali pengawas."
33,Pasal 37,
34,Pasal 38,"Bila bapak dan ibu serta kakek dan nenek si anak tidak ada, atau bila mereka semua berada dalam keadaan tak mampu menyatakan kehendak mereka, anak sah yang masih di bawah umur tidak boleh melakukan perkawinan tanpa izin wali dan wali pengawasnya."
35,Pasal 39,"Anak luar kawin yang diakui sah, selama masih di bawah umur, tidak boleh melakukan perkawinan tanpa izin bapak dan ibu yang mengakuinya, sejauh kedua-duanya atau salah seorang masih hidup dan tidak berada dalam keadaan tak mampu menyatakan kehendak mereka."
36,Pasal 40,"Anak tidak sah yang tidak diakui, tidak boleh melakukan perkawinan tanpa izin wali atau wali pengawas, selama ia masih di bawah umur. Bila kedua-keduanya, atau salah seorang, menolak untuk memberikan izin atau untuk menyatakan pendirian, Pengadilan Negeri di daerah hukum tempat tinggal anak yang masih di bawah umur itu, atas permohonannya, berkuasa"
37,Pasal 41,"Penetapan-penetapan Pengadilan Negeri dalam hal-hal yang termaksud dalam enam pasal yang lalu, diberikan tanpa bentuk hukum acara. Penetapan-penetapan itu, baik yang mengabulkan permohonan izin, maupun yang menolak, tidak dapat dimohonkan banding."
38,Pasal 42,"Anak sah yang telah dewasa, tetapi belum genap tiga puluh tahun, juga wajib untuk memohon izin bapak dan ibunya untuk melakukan perkawinan. Bila ia tidak memperoleh izin itu, Ia boleh memohon perantaraan Pengadilan Negeri tempat tinggalnya dan dalam hal itu harus diindahkan ketentuan-ketentuan dalam pasal-pasal berikut."
